IDX	SOURCE	TOPDIR	BYTES	LINES	H2	CODE	RELPATH	TITLE
88	vault	ActiveDirectory	29681	521	9	12	ActiveDirectory/AD-Attack/Category-One/🔴 Attack #7 — NTLM Relay Attacks.md	🔴 Attack #7 — NTLM Relay Attacks
89	vault	ActiveDirectory	27884	513	9	14	ActiveDirectory/AD-Attack/Category-One/🔴 Attack #8 — LLMNR  NBT-NS  mDNS Poisoning.md	🔴 Attack #8 — LLMNR / NBT-NS / mDNS Poisoning
90	vault	ActiveDirectory	27947	516	9	15	ActiveDirectory/AD-Attack/Category-One/🔴 Attack #9 — mitm6 (IPv6 DNS Spoofing  DHCPv6 Takeover).md	🔴 Attack #9 — mitm6 (IPv6 DNS Spoofing / DHCPv6 Takeover)
91	vault	ActiveDirectory	18485	311	7	9	ActiveDirectory/AD-Attack/Category-Seven/⚫ Attack #54 — PsExec Remote Execution via SMB.md	⚫ Attack #54 — PsExec / Remote Execution via SMB
92	vault	ActiveDirectory	2488	56	4	2	ActiveDirectory/AD-Attack/Category-Seven/⚫ Attack #55 — WinRM Evil-WinRM Lateral Movement.md	⚫ Attack #55 — WinRM / Evil-WinRM Lateral Movement
93	vault	ActiveDirectory	2605	67	4	2	ActiveDirectory/AD-Attack/Category-Seven/⚫ Attack #56 — RDP Lateral Movement and Hijacking.md	⚫ Attack #56 — RDP Lateral Movement & Hijacking
94	vault	ActiveDirectory	2715	56	4	2	ActiveDirectory/AD-Attack/Category-Seven/⚫ Attack #57 — DCOM Lateral Movement.md	⚫ Attack #57 — DCOM Lateral Movement
95	vault	ActiveDirectory	2414	55	4	2	ActiveDirectory/AD-Attack/Category-Seven/⚫ Attack #58 — WMI Lateral Movement.md	⚫ Attack #58 — WMI Lateral Movement
96	vault	ActiveDirectory	2146	56	4	2	ActiveDirectory/AD-Attack/Category-Seven/⚫ Attack #59 — SCM Service Manager Lateral Movement.md	⚫ Attack #59 — SCM / Service Manager Lateral Movement
97	vault	ActiveDirectory	2947	81	5	4	ActiveDirectory/AD-Attack/Category-Seven/⚫ Attack #60 — Token Stealing and Impersonation.md	⚫ Attack #60 — Token Stealing & Impersonation (Lateral)
98	vault	ActiveDirectory	16940	319	7	10	ActiveDirectory/AD-Attack/Category-Six/🟣 Attack #45 — Token Impersonation (SeImpersonatePrivilege).md	🟣 Attack #45 — Token Impersonation (SeImpersonatePrivilege)
99	vault	ActiveDirectory	2847	73	5	3	ActiveDirectory/AD-Attack/Category-Six/🟣 Attack #46 — DNSAdmins DLL Injection.md	🟣 Attack #46 — DNSAdmins DLL Injection
100	vault	ActiveDirectory	2807	72	5	3	ActiveDirectory/AD-Attack/Category-Six/🟣 Attack #47 — MachineAccountQuota (MAQ) Abuse.md	🟣 Attack #47 — MachineAccountQuota (MAQ) Abuse
101	vault	ActiveDirectory	2743	69	5	3	ActiveDirectory/AD-Attack/Category-Six/🟣 Attack #48 — GPP Password Decryption.md	🟣 Attack #48 — GPP Password Decryption
